T9_peak,tau_s,rho0,X_He4,X_O16,X_Ne20,X_Mg24,X_Si28,X_S32,baryon_drift,phi_net_O16_to_Ne20,phi_net_Ne20_to_Mg24,phi_net_Mg24_to_Si28,phi_net_Si28_to_S32
1.0,0.020000000000000004,100000.0,0.19361433770092273,0.774630640082546,0.03149539219773287,0.00025920456451603745,4.2544785729528283e-07,6.425043419506465e-12,0.0,nan,nan,nan,nan
1.2083333333333333,0.020000000000000004,100000.0,0.1628093290362832,0.6586430760914733,0.16761209842411043,0.010693153093654255,0.00024226668376476677,7.66707140886758e-08,0.0,nan,nan,nan,nan
1.4166666666666667,0.020000000000000004,100000.0,0.0932745733517448,0.45616344433136596,0.33562640436437374,0.1014382932618741,0.013457653887763628,3.963080287773365e-05,0.0,nan,nan,nan,nan
1.625,0.020000000000000004,100000.0,0.021753276691268853,0.3506888747157267,0.29780406085321903,0.2386565545277709,0.08980846440615674,0.0012887688058577367,0.0,nan,nan,nan,nan
1.8333333333333335,0.020000000000000004,100000.0,0.0009471596819296858,0.3722883188029492,0.19488948534582176,0.2674607577689801,0.15800094613618354,0.006413332264135822,0.0,nan,nan,nan,nan
2.041666666666667,0.020000000000000004,100000.0,3.816572111630307e-06,0.4094814143829526,0.1317617360128898,0.25285441939738296,0.19026388421484777,0.015634729419815228,0.0,nan,nan,nan,nan
2.25,0.020000000000000004,100000.0,3.038975742741785e-09,0.4363079646186445,0.09590169944887393,0.22864280305705453,0.20955726283151754,0.029590267004933765,0.0,nan,nan,nan,nan
2.4583333333333335,0.020000000000000004,100000.0,2.2666354016447843e-09,0.45779216428303615,0.0726419576298507,0.20189246231979974,0.219276237131573,0.04839717636910501,0.0,nan,nan,nan,nan
2.666666666666667,0.020000000000000004,100000.0,2.090403370183008e-09,0.4807683241412333,0.04867151027640529,0.17438105070400686,0.22331228902261954,0.07286682376533155,0.0,nan,nan,nan,nan
2.875,0.020000000000000004,100000.0,1.0606981994840179e-09,0.5131500324521545,0.014340530440377848,0.13819676796558344,0.22526043423160919,0.10905223384957692,0.0,nan,nan,nan,nan
3.0833333333333335,0.020000000000000004,100000.0,7.465072605980405e-11,0.5392247726330008,0.000572396729346292,0.09107696424665182,0.21050961398910306,0.1586162523272473,0.0,nan,nan,nan,nan
3.291666666666667,0.020000000000000004,100000.0,1.8996234358509344e-11,0.5619903701061123,0.00012370117819325186,0.041464175843863096,0.1687981199083338,0.2276236329445013,0.0,nan,nan,nan,nan
3.5,0.020000000000000004,100000.0,1.268426846512975e-10,0.5819851014665453,0.0006309805784207077,0.006863010522900528,0.10744048113146519,0.30308042617382563,0.0,nan,nan,nan,nan
3.7083333333333335,0.020000000000000004,100000.0,1.343274310990998e-10,0.5830829580121878,0.0007238720457176725,0.0030001007987058162,0.10837879700118734,0.3048142720078738,0.0,nan,nan,nan,nan
3.916666666666667,0.020000000000000004,100000.0,7.50690859717538e-11,0.5762226144290714,0.00035313813599716765,0.0018823531148437955,0.16056636207822653,0.2609755321667919,0.0,nan,nan,nan,nan
4.125,0.020000000000000004,100000.0,4.179669492691258e-11,0.5685461660802156,0.0001789078941475038,0.0012423199313691441,0.21652667807193254,0.21350592798053863,0.0,nan,nan,nan,nan
4.333333333333334,0.020000000000000004,100000.0,2.1362974196695173e-11,0.5623684740454408,0.00010847293379894908,0.000912788293601753,0.260835256493863,0.17577500821193245,0.0,nan,nan,nan,nan
4.541666666666667,0.020000000000000004,100000.0,1.3545531804933212e-11,0.5583437846234018,7.86540868274411e-05,0.0007505801109586125,0.28951180705661705,0.1513151741086495,0.0,nan,nan,nan,nan
4.75,0.020000000000000004,100000.0,1.4515379559661166e-11,0.556082159051241,6.545560876267317e-05,0.0006740180856687862,0.3055772643957975,0.13760110284401447,0.0,nan,nan,nan,nan
4.958333333333334,0.020000000000000004,100000.0,1.3455318177522494e-11,0.5551200489977642,6.0453314880676734e-05,0.0006444834647298514,0.312401958463051,0.13177305574611892,0.0,nan,nan,nan,nan
5.166666666666667,0.020000000000000004,100000.0,1.0117999765146537e-11,0.5549482743508044,5.9594839780169116e-05,0.0006394020163539167,0.3136198432273853,0.13073288555555831,0.0,nan,nan,nan,nan
5.375,0.020000000000000004,100000.0,1.0075366066426575e-11,0.5549444746815564,5.9575951373557453e-05,0.000639290234485975,0.31364677879147784,0.13070988033103098,0.0,nan,nan,nan,nan
5.583333333333334,0.020000000000000004,100000.0,1.0309798591786206e-11,0.5549444764923203,5.9575973562253294e-05,0.0006392902531486421,0.3136467683994986,0.13070988887116064,0.0,nan,nan,nan,nan
5.791666666666667,0.020000000000000004,100000.0,1.0074530361262909e-11,0.5549444748771604,5.957595064810012e-05,0.0006392902291954049,0.31364677973239385,0.1307098792005277,0.0,nan,nan,nan,nan
6.0,0.020000000000000004,100000.0,1.4180088146547449e-11,0.5549444777766657,5.9575969821573524e-05,0.0006392902515645012,0.3136467593324711,0.130709896655297,0.0,nan,nan,nan,nan
1.0,0.02354075635897432,100000.0,0.19251717142957608,0.7703068262576841,0.036819282215903706,0.0003560331087395928,6.869759027200464e-07,1.2193858842531183e-11,0.0,nan,nan,nan,nan
1.2083333333333333,0.02354075635897432,100000.0,0.15726440291652244,0.6388681029468071,0.18941782515415526,0.01407727704569376,0.0003722543712168659,1.3756560457462648e-07,0.0,nan,nan,nan,nan
1.4166666666666667,0.02354075635897432,100000.0,0.08214719358010206,0.4292173429091444,0.35067644408948584,0.11982734820135532,0.01807074374100724,6.092747890517863e-05,0.0,nan,nan,nan,nan
